1234567

VSSF2P0 	<vbhaver><fts><p2><pl>
VSSF2S0 	<vbhaver><fts><p2><sg>
VSSF3P0 	<vbhaver><fts><p3><pl>
VSSF3S0 	<vbhaver><fts><p3><sg>
VSG0000 	<vbhaver><ger>
VSIS1P0 	<vbhaver><ifi><p1><pl>
VSIS1S0 	<vbhaver><ifi><p1><sg>
VSIS2P0 	<vbhaver><ifi><p2><pl>
VSIS2S0 	<vbhaver><ifi><p2><sg>
VSIS3P0 	<vbhaver><ifi><p3><pl>
VSIS3S0 	<vbhaver><ifi><p3><sg>
VSM01P0 	<vbhaver><imp><p1><pl>
VSM02P0 	<vbhaver><imp><p2><pl>
VSM02S0 	<vbhaver><imp><p2><sg>
VSM03P0 	<vbhaver><imp><p3><pl>
VSM03S0 	<vbhaver><imp><p3><sg>
VSN0000 	<vbhaver><inf>
VSII1P0 	<vbhaver><pii><p1><pl>
VSII1S0 	<vbhaver><pii><p1><sg>
VSII2P0 	<vbhaver><pii><p2><pl>
VSII2S0 	<vbhaver><pii><p2><sg>
VSII3P0 	<vbhaver><pii><p3><pl>
VSII3S0 	<vbhaver><pii><p3><sg>
VSSI1P0 	<vbhaver><pis><p1><pl>
VSSI1S0 	<vbhaver><pis><p1><sg>
VSSI2P0 	<vbhaver><pis><p2><pl>
VSSI2S0 	<vbhaver><pis><p2><sg>
VSSI3P0 	<vbhaver><pis><p3><pl>
VSSI3S0 	<vbhaver><pis><p3><sg>
VSP00PF 	<vbhaver><pp><f><pl>
VSP00SF 	<vbhaver><pp><f><sg>
VSP00PM 	<vbhaver><pp><m><pl>
VSP00SM 	<vbhaver><pp><m><sg>
VSIP1P0 	<vbhaver><pri><p1><pl>
VSIP1S0 	<vbhaver><pri><p1><sg>
VSIP2P0 	<vbhaver><pri><p2><pl>
VSIP2S0 	<vbhaver><pri><p2><sg>
VSIP3P0 	<vbhaver><pri><p3><pl>
VSIP3S0 	<vbhaver><pri><p3><sg>
VSSP1P0 	<vbhaver><prs><p1><pl>
VSSP1S0 	<vbhaver><prs><p1><sg>
